model,harness,model_harness,n_runs,n_evals,n_instances,full_design_runs,missing_from_full_design
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,318,106,318,318,0
anthropic/claude-opus-4-6,pi,anthropic_claude-opus-4-6_pi,318,106,318,318,0
anthropic/claude-opus-4-7,claude-code,anthropic_claude-opus-4-7_claude-code,318,106,318,318,0
anthropic/claude-opus-4-7,pi,anthropic_claude-opus-4-7_pi,318,106,318,318,0
anthropic/claude-opus-4-8,claude-code,anthropic_claude-opus-4-8_claude-code,318,106,318,318,0
anthropic/claude-opus-4-8_max,pi,anthropic_claude-opus-4-8_max_pi,318,106,318,318,0
anthropic/claude-sonnet-4-6,pi,anthropic_claude-sonnet-4-6_pi,318,106,318,318,0
fireworks/accounts/fireworks/models/kimi-k2p6,pi,fireworks_accounts_fireworks_models_kimi-k2p6_pi,318,106,318,318,0
gemini/gemini-3.1-pro-preview,pi,gemini_gemini-3.1-pro-preview_pi,318,106,318,318,0
gemini/gemini-3.5-flash,pi,gemini_gemini-3.5-flash_pi,318,106,318,318,0
gpt-5.4,openai-codex,gpt-5.4_openai-codex,318,106,318,318,0
gpt-5.5,openai-codex,gpt-5.5_openai-codex,318,106,318,318,0
openai/gpt-5.4,pi,openai_gpt-5.4_pi,318,106,318,318,0
openai/gpt-5.5,pi,openai_gpt-5.5_pi,318,106,318,318,0
xai/grok-4.20-0309-reasoning,pi,xai_grok-4.20-0309-reasoning_pi,318,106,318,318,0
xai/grok-4.3,pi,xai_grok-4.3_pi,318,106,318,318,0
