kit,task_family,n_field_scores,mean_field_score,field_pass_rate,n_fields,n_evals
atacseq,differential_expression,6669,0.6266306792622582,0.6266306792622582,110,19
atacseq,dimensionality_reduction,282,0.7056737588652482,0.7056737588652482,6,1
atacseq,qc,2029,0.6727451946771809,0.6727451946771809,35,4
chipseq,differential_expression,245,0.6775510204081633,0.6775510204081633,9,2
chipseq,qc,1638,0.8296703296703297,0.8296703296703297,39,8
cuttag_cutrun,clustering,336,0.5386904761904762,0.5386904761904762,7,1
cuttag_cutrun,differential_expression,4554,0.8263065436978481,0.8263065436978481,86,14
cuttag_cutrun,normalization,816,0.6801470588235294,0.6801470588235294,17,3
cuttag_cutrun,qc,7525,0.7174750830564784,0.7174750830564784,150,29
methylseq,differential_expression,1486,0.5704912516823688,0.5296096904441454,14,18
methylseq,qc,384,0.2526041666666667,0.2526041666666667,6,6
methylseq,spatial_analysis,144,0.8541666666666666,0.8541666666666666,3,1
