field,n_field_scores,mean_field_score,field_pass_rate,n_evals
distal_differential_count,2,0.0,0.0,1
dmc_count,48,0.0,0.0,1
dux4erg_up_silent_fraction_pct,48,0.0,0.0,1
etv6runx1_de_enrichment_odds,46,0.0,0.0,1
etv6runx1_top_hub_targets,47,0.0,0.0,1
etv6runx1_up_rank3_score,48,0.0,0.0,1
etv6runx1_up_silent_fraction_pct,48,0.0,0.0,1
etv6runx1_up_vs_dux4erg_up_silent_delta_pct,48,0.0,0.0,1
fraction_genes_decoupled_pct,46,0.0,0.0,1
gene_coverage_diff_mb,48,0.0,0.0,1
h6_igh_bcr_peaks,48,0.0,0.0,1
h6_vdj_total_peaks,48,0.0,0.0,1
kmt2a_distal_count,2,0.0,0.0,1
kmt2a_enriched_count,2,0.0,0.0,1
kmt2a_enriched_fraction,2,0.0,0.0,1
mean_cpg_coverage,48,0.0,0.0,1
n_decoupled_genes,46,0.0,0.0,1
n_differential,2,0.0,0.0,1
n_distal_h3k27ac_peak_gene_links,47,0.0,0.0,1
n_distal_linked_genes_model,47,0.0,0.0,1
n_dux4erg_up_da_peaks,45,0.0,0.0,1
n_dux4erg_up_genes_50kb,45,0.0,0.0,1
n_dux4erg_up_genes_promoter2kb,45,0.0,0.0,1
n_etv6runx1_up_da_peaks,45,0.0,0.0,1
n_etv6runx1_up_genes_50kb,45,0.0,0.0,1
n_etv6runx1_up_genes_promoter2kb,45,0.0,0.0,1
n_extreme_dmc,48,0.0,0.0,1
n_hyper_dmc,48,0.0,0.0,1
n_peaks_union,48,0.0,0.0,1
n_selc_genes,46,0.0,0.0,1
pax5_enrich_neglog10q_hyperdiploid_top5000,45,0.0,0.0,1
pct_selc_genes,46,0.0,0.0,1
shared_sites,48,0.0,0.0,1
sites_tested,2,0.0,0.0,1
spearman_n18_min_detectable_rho,46,0.0,0.0,1
top_se_chromosome_number,3,0.0,0.0,1
top_se_end,3,0.0,0.0,1
top_se_start,3,0.0,0.0,1
h6_rag1_peaks,48,0.020833333333333332,0.020833333333333332,1
n_10x,48,0.020833333333333332,0.020833333333333332,1
n_h3k9me3_peaks,48,0.020833333333333332,0.020833333333333332,1
n_peaks_50pct,48,0.020833333333333332,0.020833333333333332,1
pct_10x,48,0.020833333333333332,0.020833333333333332,1
max_dist_to_centroid,47,0.02127659574468085,0.02127659574468085,1
mzf1_var2_jaspar_rank,46,0.021739130434782608,0.021739130434782608,1
patient_specific_target_gene_set_answer,46,0.021739130434782608,0.021739130434782608,1
dup_rate_range_histone,48,0.041666666666666664,0.041666666666666664,1
n_aligned_k4,48,0.041666666666666664,0.041666666666666664,1
n_aligned_k9,48,0.041666666666666664,0.041666666666666664,1
n_peaks_cutandtag,48,0.041666666666666664,0.041666666666666664,1
n_tested,48,0.041666666666666664,0.041666666666666664,1
pct_multimapped_k9,48,0.041666666666666664,0.041666666666666664,1
spike_rate_k4_pct,48,0.041666666666666664,0.041666666666666664,1
spike_rate_ratio_pol2_vs_k4,48,0.041666666666666664,0.041666666666666664,1
etv6runx1_n_edges,47,0.0425531914893617,0.0425531914893617,1
fraction_genes_with_rho_ge_0p5_pct,46,0.043478260869565216,0.043478260869565216,1
median_per_gene_spearman_rho_n18,46,0.043478260869565216,0.043478260869565216,1
n_cross_subtype_hubs,46,0.043478260869565216,0.043478260869565216,1
hyperdiploid_down_rank1_score,48,0.0625,0.0625,1
overlapping_gene_count,48,0.0625,0.0625,1
pax5_enrich_oddsratio_dux4erg_top5000,45,0.06666666666666667,0.06666666666666667,1
pax5_hit_frac_background,45,0.06666666666666667,0.06666666666666667,1
n_k9me3_peaks,48,0.08333333333333333,0.08333333333333333,1
n_peaks_dominant_class,48,0.08333333333333333,0.08333333333333333,1
pol2_biology_code,48,0.08333333333333333,0.08333333333333333,1
n_proximal_linked_genes_model,47,0.0851063829787234,0.0851063829787234,1
pax5_hit_frac_etv6_top5000,45,0.08888888888888889,0.08888888888888889,1
blacklist_span_kb,48,0.125,0.125,1
n_blacklist_regions,48,0.125,0.125,1
n_conserved_bivalent,48,0.125,0.125,1
pax5_hyper_top5000_b_lineage_gene_count_50kb,45,0.13333333333333333,0.13333333333333333,1
frac_signal_top5pct,48,0.14583333333333334,0.14583333333333334,1
igg_spike_fold_enrichment,48,0.14583333333333334,0.14583333333333334,1
n_broad_only,48,0.14583333333333334,0.14583333333333334,1
n_peaks_narrow,48,0.14583333333333334,0.14583333333333334,1
k4me3_r1_spike_fraction,48,0.16666666666666666,0.16666666666666666,1
n_peaks_broad,48,0.16666666666666666,0.16666666666666666,1
norm_factor_k9_r2,48,0.16666666666666666,0.16666666666666666,1
skene_factor_k27r1,48,0.16666666666666666,0.16666666666666666,1
etv6runx1_n_de_tfs,47,0.1702127659574468,0.1702127659574468,1
n_valid_tested_genes,46,0.17391304347826086,0.17391304347826086,1
highest_dup_spike_fraction,48,0.1875,0.1875,1
histone_spike_cv,48,0.1875,0.1875,1
deconv_nucleosome_frac_DUX4_ERG,48,0.20833333333333334,0.20833333333333334,1
deconv_nucleosome_frac_Hyperdiploid,48,0.20833333333333334,0.20833333333333334,1
dup_spike_spearman,48,0.22916666666666666,0.22916666666666666,1
k4r1_spike_fraction,48,0.22916666666666666,0.22916666666666666,1
bcrabl1_consensus_count,4,0.25,0.25,1
kmt2a_consensus_count,4,0.25,0.25,1
n_deg,48,0.25,0.25,1
pct_broadonly_promoter,48,0.25,0.25,1
se_mean_spike_fraction,47,0.2553191489361702,0.2553191489361702,1
cisbp_top1_family_answer,46,0.2608695652173913,0.2608695652173913,1
n_up,48,0.2708333333333333,0.2708333333333333,1
pol2_to_k4r1_spike_ratio,48,0.2708333333333333,0.2708333333333333,1
depth_ratio_24hpf_to_6hpf,48,0.2916666666666667,0.2916666666666667,1
max_se_signal_area,48,0.2916666666666667,0.2916666666666667,1
norm_factor_k9,48,0.2916666666666667,0.2916666666666667,1
norm_ratio_k27_vs_k9,48,0.2916666666666667,0.2916666666666667,1
promoter_fraction_concordant_pct,48,0.2916666666666667,0.2916666666666667,1
hd_baseline_ratio_AP1,46,0.30434782608695654,0.30434782608695654,1
pct_broadonly_genebody,48,0.3125,0.3125,1
n_discordant_pairs,47,0.3191489361702128,0.3191489361702128,1
max_se_count,48,0.3333333333333333,0.3333333333333333,1
