model_harness,model,harness,eval_name,round,field,field_score,field_passed,kit,assay_type,task_family,time_horizon,source_prefix
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r1,gene_coverage_diff_mb,0.0,False,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r1,genome_recommendation_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r1,mean_chr_size_diff_kb,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r2,gene_coverage_diff_mb,0.0,False,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r2,genome_recommendation_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r2,mean_chr_size_diff_kb,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r3,gene_coverage_diff_mb,0.0,False,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r3,genome_recommendation_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001a_reference_genome_selection,r3,mean_chr_size_diff_kb,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r1,gene_annotation_impact_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r1,gene_count_diff,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r1,overlapping_gene_count,0.0,False,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r1,protein_coding_gene_diff,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r2,gene_annotation_impact_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r2,gene_count_diff,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r2,overlapping_gene_count,0.0,False,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r2,protein_coding_gene_diff,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r3,gene_annotation_impact_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r3,gene_count_diff,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r3,overlapping_gene_count,0.0,False,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_001b_gtf_gene_count_implications,r3,protein_coding_gene_diff,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,biological_explanation_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,dup_rate_k27,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,dup_rate_k4,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,dup_rate_k9,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,dup_rate_pol2,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,k4r1_spike_fraction,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,mark_rank_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,unique_reads_ratio_k27_vs_k4,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,biological_explanation_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,dup_rate_k27,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,dup_rate_k4,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,dup_rate_k9,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,dup_rate_pol2,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,k4r1_spike_fraction,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,mark_rank_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,unique_reads_ratio_k27_vs_k4,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r3,biological_explanation_code,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
anthropic_claude-opus-4-6_claude-code,anthropic/claude-opus-4-6,claude-code,zebrafish_002b_duplicate_rate_interpretation,r3,dup_rate_k27,1.0,True,cuttag_cutrun,cuttag_cutrun,qc,small,zebrafish
