model_harness,failure_mode,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-6_claude-code,ambiguity_definition.under_specified_dataset_task_entity_or_output,3,1,0,0.0,0.0,0.5615060804490177,0.4166666666666667,0.375,0.0,0.0,979.5,1200.268,1056.4966666666667,0,
anthropic_claude-opus-4-6_claude-code,biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,24,8,11,0.4583333333333333,0.27891058351681425,0.6492544644689338,0.7920048701298702,0.8571428571428571,0.0,0.0,1306.22,10499.179999999995,3227.810833333333,0,
anthropic_claude-opus-4-6_claude-code,biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,6,2,0,0.0,0.0,0.3903430336530645,0.4444444444444444,0.5,0.0,0.0,256.585,489.59000000000003,272.06333333333333,0,
anthropic_claude-opus-4-6_claude-code,biological_interpretation.state_identity_program_or_function_conflation,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6092592592592593,0.6,0.0,0.0,700.56,819.7180000000001,526.1966666666666,0,
anthropic_claude-opus-4-6_claude-code,metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,6,2,5,0.8333333333333334,0.43649056343635395,0.9699474141282697,0.9375,1.0,0.0,0.0,6585.785000000001,18289.53,8322.611666666666,0,
anthropic_claude-opus-4-6_claude-code,metric_statistic_mismatch.null_background_or_control_calibration_error,12,4,5,0.4166666666666667,0.19325746190524654,0.6804926643446272,0.7753968253968253,0.8571428571428571,0.0,0.0,438.1,1525.7120000000002,680.9683333333335,0,
anthropic_claude-opus-4-6_claude-code,metric_statistic_mismatch.pathway_program_or_score_method_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6944444444444444,0.6666666666666666,0.0,0.0,793.19,1159.2440000000001,701.6733333333335,0,
anthropic_claude-opus-4-6_claude-code,metric_statistic_mismatch.wrong_metric_summary_rank_or_association,42,14,13,0.30952380952380953,0.1907092651972273,0.46026277766340595,0.6350005153576582,0.6,0.0,0.0,534.085,2848.473,1912.145,0,
anthropic_claude-opus-4-6_claude-code,normalization_representation.feature_namespace_or_identifier_mismatch,18,6,0,0.0,0.0,0.1758845505823749,0.42752525252525253,0.375,0.0,0.0,936.3399999999999,2743.011,1374.711111111111,0,
anthropic_claude-opus-4-6_claude-code,normalization_representation.feature_selection_or_panel_scope_mismatch,12,4,1,0.08333333333333333,0.014864709450773478,0.35388592179859524,0.48575036075036077,0.42857142857142855,0.0,0.0,496.07,1962.1319999999998,899.7616666666667,0,
anthropic_claude-opus-4-6_claude-code,normalization_representation.latent_basis_or_embedding_provenance_mismatch,3,1,0,0.0,0.0,0.5615060804490177,0.38888888888888884,0.3333333333333333,0.0,0.0,458.1,508.48400000000004,457.77666666666664,0,
anthropic_claude-opus-4-6_claude-code,normalization_representation.library_chemistry_read_layout_or_file_structure_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6875420875420875,0.6,0.0,0.0,790.11,3215.822,1373.3977777777777,0,
anthropic_claude-opus-4-6_claude-code,normalization_representation.wrong_data_layer_or_preprocessing,15,5,6,0.4,0.19824228082594664,0.642535572434923,0.6444444444444444,0.5,0.0,0.0,148.04,536.686,265.9886666666667,0,
anthropic_claude-opus-4-6_claude-code,other.unclassified_or_mixed,3,1,0,0.0,0.0,0.5615060804490177,0.75,0.75,0.0,0.0,600.1,1243.484,831.17,0,
anthropic_claude-opus-4-6_claude-code,qc_control_artifact.technical_artifact_control_or_detection_bias_as_biology,6,2,3,0.5,0.18761280689940868,0.8123871931005913,0.6944444444444443,0.75,0.0,0.0,329.595,489.59000000000003,340.405,0,
anthropic_claude-opus-4-6_claude-code,replicate_unit_of_analysis.pooled_vs_stratified_analysis_error,12,4,5,0.4166666666666667,0.19325746190524654,0.6804926643446272,0.6659090909090909,0.5,0.0,0.0,249.05499999999998,1962.1319999999998,690.1391666666667,0,
anthropic_claude-opus-4-6_claude-code,rubric_reviewer_dispute.valid_alternative_rubric_tolerance_or_version_problem,3,1,0,0.0,0.0,0.5615060804490177,0.38888888888888884,0.3333333333333333,0.0,0.0,458.1,508.48400000000004,457.77666666666664,0,
anthropic_claude-opus-4-6_claude-code,subset_scope_compartment.wrong_denominator_reference_or_abundance_base,18,6,8,0.4444444444444444,0.24559231101389126,0.6628393057174837,0.7886904761904762,0.8571428571428571,0.0,0.0,315.55,14462.894000000004,3045.6949999999997,0,
anthropic_claude-opus-4-6_claude-code,subset_scope_compartment.wrong_entity_cell_cluster_or_region_subset,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,207.03,283.046,227.03666666666666,0,
anthropic_claude-opus-4-6_claude-code,subset_scope_compartment.wrong_sample_roi_condition_or_timepoint,3,1,0,0.0,0.0,0.5615060804490177,0.25,0.25,0.0,0.0,754.1,766.524,741.43,0,
anthropic_claude-opus-4-6_claude-code,threshold_resolution_instability.threshold_resolution_topk_or_significance_instability,27,9,10,0.37037037037037035,0.21532287067936856,0.5577109537655369,0.6439233605900272,0.5,0.0,0.0,547.09,2499.390000000001,972.8166666666665,0,
anthropic_claude-opus-4-6_pi,ambiguity_definition.under_specified_dataset_task_entity_or_output,3,1,0,0.0,0.0,0.5615060804490177,0.4166666666666667,0.375,0.0,0.0,811.35,870.6460000000001,764.7666666666668,3,1.0100705833333334
anthropic_claude-opus-4-6_pi,biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,24,8,11,0.4583333333333333,0.27891058351681425,0.6492544644689338,0.8287337662337663,0.8571428571428571,0.0,0.0,1193.2549999999999,9939.403999999999,3321.4587500000002,24,1.7511177916666665
anthropic_claude-opus-4-6_pi,biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,6,2,0,0.0,0.0,0.3903430336530645,0.47222222222222215,0.5,0.0,0.0,204.06,390.645,223.40666666666664,6,0.404126375
anthropic_claude-opus-4-6_pi,biological_interpretation.state_identity_program_or_function_conflation,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.6314814814814815,0.8,0.0,0.0,389.06,795.3260000000001,440.9477777777778,9,0.5317441944444447
anthropic_claude-opus-4-6_pi,metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,6,2,6,1.0,0.6096569663469354,0.9999999999999999,1.0,1.0,0.0,0.0,4486.265,11432.369999999999,5334.716666666666,6,1.0723267916666668
anthropic_claude-opus-4-6_pi,metric_statistic_mismatch.null_background_or_control_calibration_error,12,4,4,0.3333333333333333,0.13811783989736134,0.609382412602386,0.792063492063492,0.8571428571428571,0.0,0.0,701.11,1384.736,740.1374999999999,12,1.0184746458333334
anthropic_claude-opus-4-6_pi,metric_statistic_mismatch.pathway_program_or_score_method_mismatch,9,3,3,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5462962962962963,0.375,0.0,0.0,631.09,1019.3620000000001,647.1211111111112,9,0.9585695833333333
anthropic_claude-opus-4-6_pi,metric_statistic_mismatch.wrong_metric_summary_rank_or_association,42,14,12,0.2857142857142857,0.1716685874457567,0.43567496077245566,0.6754329004329004,0.6666666666666666,0.0,0.0,403.065,8528.983999999995,1884.613809523809,42,0.9450045654761904
anthropic_claude-opus-4-6_pi,normalization_representation.feature_namespace_or_identifier_mismatch,18,6,0,0.0,0.0,0.1758845505823749,0.48198653198653196,0.4375,0.0,0.0,539.2950000000001,6667.247000000003,2109.3566666666675,18,1.1705595833333335
