model_harness,kit,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-6_claude-code,atacseq,72,24,20,0.2777777777777778,0.18760146005322942,0.3904665131962801,0.6620400432900433,0.6333333333333333,0.0,0.0,598.12,3001.611,1143.6027777777776,0,
anthropic_claude-opus-4-6_claude-code,chipseq,30,10,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,0.8209920634920634,0.8571428571428571,0.0,0.0,592.585,3786.7400000000143,2352.162333333333,0,
anthropic_claude-opus-4-6_claude-code,cuttag_cutrun,141,47,36,0.2553191489361702,0.19050011793145136,0.33311740631572617,0.7035714285714285,0.75,0.0,0.0,519.31,1924.44,744.8206382978725,0,
anthropic_claude-opus-4-6_claude-code,methylseq,75,25,28,0.37333333333333335,0.2725580313531414,0.4864524402760493,0.7833333333333333,1.0,0.0,0.0,139.02,1252.2780000000039,630.9609333333333,0,
anthropic_claude-opus-4-6_pi,atacseq,72,24,23,0.3194444444444444,0.22325457048556474,0.43392565777966174,0.7042819063652397,0.75,0.0,0.0,626.3050000000001,3454.1949999999997,1475.4737499999999,72,0.9051451423611111
anthropic_claude-opus-4-6_pi,chipseq,30,10,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.7890476190476191,0.8571428571428571,0.0,0.0,529.075,4350.1750000000075,1878.5076666666666,30,1.2723424916666668
anthropic_claude-opus-4-6_pi,cuttag_cutrun,141,47,41,0.2907801418439716,0.22216384589818058,0.37049461686389873,0.7169621749408983,0.75,0.0,0.0,453.14,2089.29,864.1580141843972,141,0.5009550815602838
anthropic_claude-opus-4-6_pi,methylseq,75,25,26,0.3466666666666667,0.24882118363617925,0.4594546504412621,0.7766666666666666,1.0,0.0,0.0,170.04,982.704000000001,438.58,75,0.3100333133333333
anthropic_claude-opus-4-7_claude-code,atacseq,72,24,20,0.2777777777777778,0.18760146005322942,0.3904665131962801,0.6838985088985089,0.6458333333333333,0.0,0.0,504.6,2214.0199999999995,880.7808333333334,0,
anthropic_claude-opus-4-7_claude-code,chipseq,30,10,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.8571428571428572,1.0,0.0,0.0,280.055,3455.7660000000096,1684.0196666666668,0,
anthropic_claude-opus-4-7_claude-code,cuttag_cutrun,141,47,50,0.3546099290780142,0.2804602036792119,0.43647194840969084,0.7679500168861871,0.8333333333333334,0.0,0.0,449.28,1481.25,621.5059574468086,0,
anthropic_claude-opus-4-7_claude-code,methylseq,75,25,20,0.26666666666666666,0.17976179296488748,0.3763101284573058,0.7533333333333333,1.0,0.0,0.0,176.07,484.77600000000007,259.4992,0,
anthropic_claude-opus-4-7_pi,atacseq,72,24,20,0.2777777777777778,0.18760146005322942,0.3904665131962801,0.6822866562449896,0.7083333333333333,0.0,0.0,469.065,3052.4289999999987,1030.105138888889,0,
anthropic_claude-opus-4-7_pi,chipseq,30,10,15,0.5,0.33153851227173764,0.6684614877282624,0.7634920634920637,0.9285714285714286,0.0,0.0,475.07,4352.091000000007,1443.9106666666669,0,
