model_harness,source_prefix,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-6_claude-code,atac,36,12,9,0.25,0.13750323839225387,0.41070767683203424,0.6582070707070707,0.6333333333333333,0.0,0.0,1619.355,3833.89,1844.8188888888892,0,
anthropic_claude-opus-4-6_claude-code,chipseq,30,10,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,0.8209920634920634,0.8571428571428571,0.0,0.0,592.585,3786.7400000000143,2352.162333333333,0,
anthropic_claude-opus-4-6_claude-code,cold,36,12,11,0.3055555555555556,0.18004270282805354,0.46856578679083716,0.6658730158730158,0.6190476190476191,0.0,0.0,409.595,884.3299999999999,442.38666666666666,0,
anthropic_claude-opus-4-6_claude-code,gse149608,72,24,25,0.3472222222222222,0.2475326163175922,0.4623891152914456,0.7743055555555556,1.0,0.0,0.0,153.03,1387.3469999999993,652.8736111111111,0,
anthropic_claude-opus-4-6_claude-code,gse149609,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,100.08,115.27199999999999,105.05666666666666,0,
anthropic_claude-opus-4-6_claude-code,zebrafish,141,47,36,0.2553191489361702,0.19050011793145136,0.33311740631572617,0.7035714285714285,0.75,0.0,0.0,519.31,1924.44,744.8206382978725,0,
anthropic_claude-opus-4-6_pi,atac,36,12,12,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.6885241301907968,0.775,0.0,0.0,1748.56,5850.46,2458.594444444445,36,1.2289866180555553
anthropic_claude-opus-4-6_pi,chipseq,30,10,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.7890476190476191,0.8571428571428571,0.0,0.0,529.075,4350.1750000000075,1878.5076666666666,30,1.2723424916666668
anthropic_claude-opus-4-6_pi,cold,36,12,11,0.3055555555555556,0.18004270282805354,0.46856578679083716,0.7200396825396824,0.75,0.0,0.0,401.08500000000004,848.4100000000001,492.35305555555556,36,0.5813036666666668
anthropic_claude-opus-4-6_pi,gse149608,72,24,25,0.3472222222222222,0.2475326163175922,0.4623891152914456,0.7881944444444444,1.0,0.0,0.0,173.535,1018.4459999999998,452.0306944444444,72,0.3177782361111111
anthropic_claude-opus-4-6_pi,gse149609,3,1,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.5,0.5,0.0,0.0,121.02,132.356,115.76333333333332,3,0.12415516666666666
anthropic_claude-opus-4-6_pi,zebrafish,141,47,41,0.2907801418439716,0.22216384589818058,0.37049461686389873,0.7169621749408983,0.75,0.0,0.0,453.14,2089.29,864.1580141843972,141,0.5009550815602838
anthropic_claude-opus-4-7_claude-code,atac,36,12,10,0.2777777777777778,0.158481700258138,0.4399280021634514,0.6873737373737374,0.625,0.0,0.0,886.2,3363.9,1370.7913888888888,0,
anthropic_claude-opus-4-7_claude-code,chipseq,30,10,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.8571428571428572,1.0,0.0,0.0,280.055,3455.7660000000096,1684.0196666666668,0,
anthropic_claude-opus-4-7_claude-code,cold,36,12,10,0.2777777777777778,0.158481700258138,0.4399280021634514,0.6804232804232805,0.6666666666666666,0.0,0.0,400.12,775.6949999999999,390.7702777777778,0,
anthropic_claude-opus-4-7_claude-code,gse149608,72,24,18,0.25,0.16438921125325756,0.36093725865244064,0.7569444444444444,1.0,0.0,0.0,178.075,486.534,263.1413888888889,0,
anthropic_claude-opus-4-7_claude-code,gse149609,3,1,2,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.6666666666666666,1.0,0.0,0.0,60.09,340.13800000000003,172.08666666666667,0,
anthropic_claude-opus-4-7_claude-code,zebrafish,141,47,50,0.3546099290780142,0.2804602036792119,0.43647194840969084,0.7679500168861871,0.8333333333333334,0.0,0.0,449.28,1481.25,621.5059574468086,0,
anthropic_claude-opus-4-7_pi,atac,36,12,9,0.25,0.13750323839225387,0.41070767683203424,0.6667227833894501,0.6306818181818181,0.0,0.0,835.44,4246.049999999999,1649.6227777777779,0,
anthropic_claude-opus-4-7_pi,chipseq,30,10,15,0.5,0.33153851227173764,0.6684614877282624,0.7634920634920637,0.9285714285714286,0.0,0.0,475.07,4352.091000000007,1443.9106666666669,0,
anthropic_claude-opus-4-7_pi,cold,36,12,11,0.3055555555555556,0.18004270282805354,0.46856578679083716,0.697850529100529,0.75,0.0,0.0,383.555,833.755,410.58750000000003,0,
anthropic_claude-opus-4-7_pi,gse149608,72,24,24,0.3333333333333333,0.2353448606571184,0.4482061192800137,0.7928240740740741,1.0,0.0,0.0,163.04500000000002,453.652,249.27819444444444,0,
anthropic_claude-opus-4-7_pi,gse149609,3,1,0,0.0,0.0,0.5615060804490177,0.0,0.0,0.0,0.0,108.03,430.462,218.03666666666666,0,
anthropic_claude-opus-4-7_pi,zebrafish,141,47,46,0.3262411347517731,0.25435688113492116,0.40734252014206007,0.7523049645390071,0.75,0.0,0.0,479.17,2015.33,816.7427659574469,0,
anthropic_claude-opus-4-8_claude-code,atac,36,12,7,0.19444444444444445,0.09752972019453349,0.350283620635152,0.6473905723905724,0.6306818181818181,0.0,0.0,1410.925,3399.5150000000003,1672.4672222222223,4,1.4507580625
anthropic_claude-opus-4-8_claude-code,chipseq,30,10,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.8412698412698413,1.0,0.0,0.0,649.635,3145.549000000008,2002.4906666666661,4,4.7253240625
anthropic_claude-opus-4-8_claude-code,cold,36,12,12,0.3333333333333333,0.20214424774586046,0.49666302907033155,0.6972222222222222,0.75,0.0,0.0,631.09,1036.8600000000001,686.7369444444445,0,
anthropic_claude-opus-4-8_claude-code,gse149608,72,24,31,0.4305555555555556,0.32257723366453145,0.5455690079759403,0.8518518518518519,1.0,0.0,0.0,307.66999999999996,999.5659999999999,402.37277777777774,0,
anthropic_claude-opus-4-8_claude-code,gse149609,3,1,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,0.0,0.0,0.0,252.05,462.60200000000003,297.45666666666665,0,
anthropic_claude-opus-4-8_claude-code,zebrafish,141,47,56,0.3971631205673759,0.32015581870067045,0.47962545960611436,0.7994343127321851,0.8571428571428571,0.0,0.0,640.12,1612.31,808.6210638297872,5,0.8650592500000001
anthropic_claude-opus-4-8_max_pi,atac,36,12,10,0.2777777777777778,0.158481700258138,0.4399280021634514,0.6650603254769921,0.7272727272727273,0.0,0.0,1649.12,4277.95,2079.1155555555556,0,
anthropic_claude-opus-4-8_max_pi,chipseq,30,10,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,0.8246031746031746,1.0,0.0,0.0,707.12,3874.2560000000035,1756.9953333333333,0,
anthropic_claude-opus-4-8_max_pi,cold,36,12,11,0.3055555555555556,0.18004270282805354,0.46856578679083716,0.7076719576719577,0.75,0.0,0.0,751.7,1349.94,803.0033333333334,0,
anthropic_claude-opus-4-8_max_pi,gse149608,72,24,30,0.4166666666666667,0.3098503822249644,0.5319251077436017,0.8402777777777778,1.0,0.0,0.0,388.085,821.11,414.37347222222223,0,
anthropic_claude-opus-4-8_max_pi,gse149609,3,1,3,1.0,0.43849391955098227,1.0,1.0,1.0,0.0,0.0,488.15,703.3820000000001,483.79,0,
anthropic_claude-opus-4-8_max_pi,zebrafish,141,47,56,0.3971631205673759,0.32015581870067045,0.47962545960611436,0.8031830462681526,0.8571428571428571,0.0,0.0,752.28,1884.32,959.2699290780141,0,
anthropic_claude-sonnet-4-6_pi,atac,36,12,5,0.1388888888888889,0.060817253631150966,0.2865985128039319,0.5765151515151516,0.5454545454545454,0.0,0.0,1602.125,4767.6849999999995,2161.3152777777777,36,1.3837818375
anthropic_claude-sonnet-4-6_pi,chipseq,30,10,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.7148809523809524,0.8660714285714286,0.0,0.0,548.14,5255.5470000000105,2252.2736666666665,30,1.5658998750000002
anthropic_claude-sonnet-4-6_pi,cold,36,12,11,0.3055555555555556,0.18004270282805354,0.46856578679083716,0.6999007936507936,0.7083333333333333,0.0,0.0,378.11,888.0450000000001,453.2336111111111,36,0.49207494583333333
anthropic_claude-sonnet-4-6_pi,gse149608,72,24,17,0.2361111111111111,0.15296584625945536,0.34598987197433717,0.6550925925925927,0.5,0.0,0.0,189.53,783.9889999999999,423.5111111111112,72,0.25241139583333333
anthropic_claude-sonnet-4-6_pi,gse149609,3,1,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,0.0,0.0,0.0,114.02,118.05999999999999,93.03333333333332,3,0.05166774999999999
anthropic_claude-sonnet-4-6_pi,zebrafish,141,47,33,0.23404255319148937,0.1717826644060098,0.3104102967322267,0.679145558932793,0.7142857142857143,0.0,0.0,538.1,2357.41,892.7818439716311,141,0.43132063191489356
fireworks_accounts_fireworks_models_kimi-k2p6_pi,atac,36,12,3,0.08333333333333333,0.0287480892712918,0.21827010276918848,0.3626192480359147,0.3333333333333333,0.0,0.0,2489.57,4503.8099999999995,2479.6894444444442,36,0.9951432552777777
fireworks_accounts_fireworks_models_kimi-k2p6_pi,chipseq,30,10,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,0.6357142857142858,0.6666666666666666,0.0,0.0,711.21,4727.828000000002,2001.1353333333332,30,0.5984992713333334
fireworks_accounts_fireworks_models_kimi-k2p6_pi,cold,36,12,10,0.2777777777777778,0.158481700258138,0.4399280021634514,0.5165013227513229,0.5,0.0,0.0,1118.225,3239.3900000000003,1480.2197222222223,36,0.7961301038888888
fireworks_accounts_fireworks_models_kimi-k2p6_pi,gse149608,72,24,23,0.3194444444444444,0.22325457048556474,0.43392565777966174,0.7222222222222222,0.5,0.0,0.0,354.645,1221.889,553.1977777777779,72,0.20062957388888886
fireworks_accounts_fireworks_models_kimi-k2p6_pi,gse149609,3,1,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.3333333333333333,0.0,0.0,0.0,1312.37,1320.29,1247.6599999999999,3,0.5763316566666666
