model_harness,task_family,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-6_claude-code,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.6055555555555556,0.6666666666666666,0.0,0.0,113.02,304.04600000000005,179.02777777777777,0,
anthropic_claude-opus-4-6_claude-code,chromatin_state_analysis,48,16,12,0.25,0.1492048880971003,0.3878464374792707,0.6553075396825397,0.6666666666666666,0.0,0.0,628.15,2088.8750000000014,875.163125,0,
anthropic_claude-opus-4-6_claude-code,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.08333333333333333,0.0,0.0,0.0,48.02,106.92,106.27416666666666,0,
anthropic_claude-opus-4-6_claude-code,genomic_annotation,36,12,19,0.5277777777777778,0.3700567162693947,0.6801420709279067,0.9986772486772484,1.0,0.0,0.0,255.10000000000002,936.885,506.3880555555556,0,
anthropic_claude-opus-4-6_claude-code,peak_calling,42,14,11,0.2619047619047619,0.15302485372603591,0.41069019984975563,0.6818697175840034,0.6666666666666666,0.0,0.0,674.685,2820.915,2052.9445238095236,0,
anthropic_claude-opus-4-6_claude-code,qc,66,22,17,0.25757575757575757,0.16748707345896682,0.37433327429938923,0.641540404040404,0.75,0.0,0.0,289.1,2136.885,674.1934848484849,0,
anthropic_claude-opus-4-6_claude-code,secondary_analysis,102,34,38,0.37254901960784315,0.28494828732820177,0.4694016091208316,0.8189988116458704,0.8166666666666667,0.0,0.0,595.115,2655.3020000000015,1081.0500980392158,0,
anthropic_claude-opus-4-6_claude-code,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.625,0.875,0.0,0.0,333.05,494.66600000000005,378.05333333333334,0,
anthropic_claude-opus-4-6_pi,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.5833333333333334,0.6666666666666666,0.0,0.0,145.02,252.846,174.70555555555555,9,0.3570985
anthropic_claude-opus-4-6_pi,chromatin_state_analysis,48,16,17,0.3541666666666667,0.23433457112685735,0.4956120354593591,0.7309771825396826,0.75,0.0,0.0,515.63,2386.336000000003,1140.3508333333332,48,0.646404109375
anthropic_claude-opus-4-6_pi,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.0,0.0,0.0,0.0,49.510000000000005,121.92,71.02166666666666,12,0.10450410416666667
anthropic_claude-opus-4-6_pi,genomic_annotation,36,12,21,0.5833333333333334,0.4219996966427768,0.7285966649491271,1.0350529100529098,1.0,0.0,0.0,284.6,1940.6399999999999,674.7141666666668,36,0.6472312569444444
anthropic_claude-opus-4-6_pi,peak_calling,42,14,12,0.2857142857142857,0.1716685874457567,0.43567496077245566,0.6479694908266337,0.625,0.0,0.0,621.145,4865.395999999998,1881.7661904761906,42,0.6854259464285714
anthropic_claude-opus-4-6_pi,qc,66,22,15,0.22727272727272727,0.14285105087244676,0.34169684035570386,0.6451178451178452,0.75,0.0,0.0,267.18,1860.33,602.3245454545455,66,0.4299433446969697
anthropic_claude-opus-4-6_pi,secondary_analysis,102,34,39,0.38235294117647056,0.2939418160157895,0.4793042422448567,0.8279910449028097,0.8166666666666667,0.0,0.0,515.6,3019.743000000002,1140.963235294118,102,0.7825082769607843
anthropic_claude-opus-4-6_pi,visualization,3,1,0,0.0,0.0,0.5615060804490177,0.625,0.875,0.0,0.0,163.03,373.454,237.37,3,0.4840790000000001
anthropic_claude-opus-4-7_claude-code,alignment,9,3,0,0.0,0.0,0.2991527535509594,0.5833333333333334,0.6666666666666666,0.0,0.0,140.02,239.872,158.48333333333332,0,
anthropic_claude-opus-4-7_claude-code,chromatin_state_analysis,48,16,17,0.3541666666666667,0.23433457112685735,0.4956120354593591,0.7858878968253968,0.8571428571428571,0.0,0.0,618.615,1877.18,769.24375,0,
anthropic_claude-opus-4-7_claude-code,differential_methylation,12,4,0,0.0,0.0,0.2425007574992425,0.08333333333333333,0.0,0.0,0.0,64.00999999999999,191.38500000000002,90.94916666666666,0,
