model_harness,time_horizon,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
anthropic_claude-opus-4-6_claude-code,long,78,26,30,0.38461538461538464,0.28448876404744494,0.49557418682350585,0.7868589743589743,1.0,0.0,0.0,153.03,1784.368999999999,1242.623846153846,0,
anthropic_claude-opus-4-6_claude-code,small,240,80,67,0.2791666666666667,0.22623282535841227,0.33905874096989264,0.7036467352092352,0.75,0.0,0.0,535.575,2351.652,868.0057916666667,0,
anthropic_claude-opus-4-6_pi,long,78,26,29,0.3717948717948718,0.27293398524227175,0.4826915157254513,0.7852564102564102,1.0,0.0,0.0,173.535,1229.5649999999996,828.7266666666668,78,0.37024611217948716
anthropic_claude-opus-4-6_pi,small,240,80,75,0.3125,0.2572003867927223,0.3737075468822535,0.7186308020683021,0.75,0.0,0.0,474.68,2638.114,1052.8684999999998,240,0.7014528885416667
anthropic_claude-opus-4-7_claude-code,long,78,26,23,0.2948717948717949,0.20524076724417498,0.40376003430418184,0.7628205128205128,1.0,0.0,0.0,182.06,645.526,670.1174358974359,0,
anthropic_claude-opus-4-7_claude-code,small,240,80,86,0.35833333333333334,0.30033715360868946,0.42079328516795894,0.7509830447330448,0.8090909090909091,0.0,0.0,447.26,1664.492,703.1767916666668,0,
anthropic_claude-opus-4-7_pi,long,78,26,27,0.34615384615384615,0.25005047365684197,0.4567001275044257,0.7702991452991452,1.0,0.0,0.0,171.575,666.6199999999992,589.8197435897437,0,
anthropic_claude-opus-4-7_pi,small,240,80,78,0.325,0.2689034678894557,0.38661060354052174,0.7296016714766715,0.75,0.0,0.0,474.105,2164.1369999999997,855.17425,0,
anthropic_claude-opus-4-8_claude-code,long,78,26,35,0.44871794871794873,0.3433419189622355,0.5589082814248538,0.8376068376068375,1.0,0.0,0.0,315.16499999999996,1234.2289999999996,907.1492307692307,3,5.8192570166666675
anthropic_claude-opus-4-8_claude-code,small,240,80,91,0.37916666666666665,0.3201423446530402,0.4419983237152774,0.7640183080808082,0.8333333333333334,0.0,0.0,688.645,1912.2939999999999,908.8633750000001,10,1.1571853699999999
anthropic_claude-opus-4-8_max_pi,long,78,26,35,0.44871794871794873,0.3433419189622355,0.5589082814248538,0.8504273504273505,1.0,0.0,0.0,397.75,950.478,785.8466666666666,0,
anthropic_claude-opus-4-8_max_pi,small,240,80,91,0.37916666666666665,0.3201423446530402,0.4419983237152774,0.7690497234247234,0.8333333333333334,0.0,0.0,818.7049999999999,2344.1629999999996,1090.4725833333334,0,
anthropic_claude-sonnet-4-6_pi,long,78,26,20,0.2564102564102564,0.1725530857155662,0.36313536612310743,0.6543803418803419,0.5,0.0,0.0,189.53,1063.8619999999994,1010.0858974358974,78,0.5400075134615384
anthropic_claude-sonnet-4-6_pi,small,240,80,61,0.25416666666666665,0.20325356013077353,0.31282573068752806,0.66784136002886,0.6666666666666666,0.0,0.0,539.625,2540.326,998.1642083333334,240,0.631383696875
