rank_common_subset,model,harness,model_harness,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
1,openai/gpt-5.5,pi,openai_gpt-5.5_pi,318,106,151,0.4748427672955975,0.4205847115488578,0.5297013919256465,0.8162555473876227,1.0,0.0,0.0,801.7049999999999,4956.298000000001,1893.38606918239,318,1.2843696729559746
2,gpt-5.5,openai-codex,gpt-5.5_openai-codex,318,106,135,0.42452830188679247,0.37142082950663907,0.4794374809168736,0.7825564721791136,0.8571428571428571,0.0,0.0,434.61,1489.1960000000001,696.4623270440251,0,
3,openai/gpt-5.4,pi,openai_gpt-5.4_pi,318,106,134,0.42138364779874216,0.36836664304743183,0.47627743031039393,0.7998415194169911,0.8571428571428571,0.0,0.0,915.7,3630.486000000001,1524.7056918238995,318,0.9242691226415095
4,anthropic/claude-opus-4-8_max,pi,anthropic_claude-opus-4-8_max_pi,318,106,126,0.39622641509433965,0.3440135273593702,0.45091664947295984,0.7890102734442357,0.8571428571428571,0.0,0.0,709.605,2065.7060000000015,1015.7530188679244,0,
5,anthropic/claude-opus-4-8,claude-code,anthropic_claude-opus-4-8_claude-code,318,106,126,0.39622641509433965,0.3440135273593702,0.45091664947295984,0.7820683247570039,0.8571428571428571,0.0,0.0,609.11,1734.5700000000004,908.4429245283018,13,2.2330480576923075
6,gpt-5.4,openai-codex,gpt-5.4_openai-codex,318,106,122,0.3836477987421384,0.33189140093471003,0.438181827634872,0.7410882182108597,0.775,0.0,0.0,478.145,1789.561,892.2408490566039,0,
7,anthropic/claude-opus-4-7,claude-code,anthropic_claude-opus-4-7_claude-code,318,106,109,0.34276729559748426,0.2927546901384849,0.39653345657716665,0.7538865746412916,0.8333333333333334,0.0,0.0,367.71500000000003,1555.9590000000003,695.0678930817611,0,
8,anthropic/claude-opus-4-7,pi,anthropic_claude-opus-4-7_pi,318,106,105,0.330188679245283,0.28079584539111574,0.3836353530617878,0.7395840707161462,0.775,0.0,0.0,412.28999999999996,1983.8370000000004,790.0872955974844,0,
9,anthropic/claude-opus-4-6,pi,anthropic_claude-opus-4-6_pi,318,106,104,0.3270440251572327,0.2778124896632055,0.38040447172401115,0.7349729323785927,0.75,0.0,0.0,431.06,2464.6040000000003,997.8903144654088,318,0.6202134905660377
10,gemini/gemini-3.5-flash,pi,gemini_gemini-3.5-flash_pi,318,106,98,0.3081761006289308,0.25996719514031963,0.3609643438527752,0.7431039959341845,0.75,0.0,0.0,889.15,3085.6180000000004,1410.3481446540882,318,1.5871727632075472
11,anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,318,106,97,0.3050314465408805,0.25700231234137205,0.35771498958603576,0.7240572844346429,0.75,0.0,0.0,478.195,2312.9580000000005,959.8932389937108,0,
12,gemini/gemini-3.1-pro-preview,pi,gemini_gemini-3.1-pro-preview_pi,318,106,86,0.27044025157232704,0.22457408082018837,0.32178661338466275,0.7052537958198335,0.75,0.0,0.0,740.2850000000001,2883.5730000000003,1291.5551257861637,318,0.7678220025157233
13,anthropic/claude-sonnet-4-6,pi,anthropic_claude-sonnet-4-6_pi,318,106,81,0.25471698113207547,0.20995287441250726,0.3053366344639091,0.6645396008603556,0.6666666666666666,0.0,0.0,444.105,2415.1960000000013,1001.0883962264151,318,0.608970670754717
14,fireworks/accounts/fireworks/models/kimi-k2p6,pi,fireworks_accounts_fireworks_models_kimi-k2p6_pi,318,106,79,0.24842767295597484,0.2041265941112191,0.29873444063382326,0.6260991541651919,0.6666666666666666,0.0,0.0,719.6949999999999,2887.814,1231.4174213836477,318,0.45970284015723273
15,xai/grok-4.20-0309-reasoning,pi,xai_grok-4.20-0309-reasoning_pi,318,106,76,0.2389937106918239,0.19541194185769628,0.2888063816902851,0.638427627578571,0.6363636363636364,0.0,0.0,281.7,1260.0570000000007,594.9869811320756,318,0.2802997106918239
16,xai/grok-4.3,pi,xai_grok-4.3_pi,318,106,43,0.13522012578616352,0.10196124597793302,0.17718725440237829,0.5290210052002504,0.42857142857142855,0.0,0.0,41.01,329.25700000000006,156.9182389937107,318,0.03265287279874214
