model,harness,model_harness,n_eval_model_pairs,mean_attempts_per_eval,any_pass_rate,majority_pass_rate,all_pass_rate,mean_eval_pass_fraction,mean_eval_score
openai/gpt-5.5,pi,openai_gpt-5.5_pi,106,3.0,0.5754716981132075,0.49056603773584906,0.3584905660377358,0.4748427672955975,0.8162555473876228
gpt-5.5,openai-codex,gpt-5.5_openai-codex,106,3.0,0.5377358490566038,0.42452830188679247,0.3113207547169811,0.42452830188679247,0.7825564721791136
openai/gpt-5.4,pi,openai_gpt-5.4_pi,106,3.0,0.5471698113207547,0.46226415094339623,0.25471698113207547,0.4213836477987421,0.7998415194169911
anthropic/claude-opus-4-8_max,pi,anthropic_claude-opus-4-8_max_pi,106,3.0,0.4716981132075472,0.3867924528301887,0.330188679245283,0.39622641509433965,0.7890102734442357
anthropic/claude-opus-4-8,claude-code,anthropic_claude-opus-4-8_claude-code,106,3.0,0.4811320754716981,0.41509433962264153,0.29245283018867924,0.39622641509433965,0.7820683247570039
gpt-5.4,openai-codex,gpt-5.4_openai-codex,106,3.0,0.5094339622641509,0.3584905660377358,0.2830188679245283,0.38364779874213834,0.7410882182108597
anthropic/claude-opus-4-7,claude-code,anthropic_claude-opus-4-7_claude-code,106,3.0,0.4528301886792453,0.330188679245283,0.24528301886792453,0.3427672955974843,0.7538865746412916
anthropic/claude-opus-4-7,pi,anthropic_claude-opus-4-7_pi,106,3.0,0.42452830188679247,0.33962264150943394,0.22641509433962265,0.330188679245283,0.7395840707161462
anthropic/claude-opus-4-6,pi,anthropic_claude-opus-4-6_pi,106,3.0,0.4339622641509434,0.32075471698113206,0.22641509433962265,0.3270440251572327,0.7349729323785927
gemini/gemini-3.5-flash,pi,gemini_gemini-3.5-flash_pi,106,3.0,0.4339622641509434,0.3113207547169811,0.1792452830188679,0.3081761006289308,0.7431039959341846
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,106,3.0,0.4716981132075472,0.2830188679245283,0.16037735849056603,0.30503144654088055,0.7240572844346429
gemini/gemini-3.1-pro-preview,pi,gemini_gemini-3.1-pro-preview_pi,106,3.0,0.3867924528301887,0.27358490566037735,0.1509433962264151,0.27044025157232704,0.7052537958198336
anthropic/claude-sonnet-4-6,pi,anthropic_claude-sonnet-4-6_pi,106,3.0,0.3584905660377358,0.24528301886792453,0.16037735849056603,0.25471698113207547,0.6645396008603556
fireworks/accounts/fireworks/models/kimi-k2p6,pi,fireworks_accounts_fireworks_models_kimi-k2p6_pi,106,3.0,0.41509433962264153,0.19811320754716982,0.1320754716981132,0.24842767295597484,0.6260991541651918
xai/grok-4.20-0309-reasoning,pi,xai_grok-4.20-0309-reasoning_pi,106,3.0,0.37735849056603776,0.2358490566037736,0.10377358490566038,0.2389937106918239,0.638427627578571
xai/grok-4.3,pi,xai_grok-4.3_pi,106,3.0,0.19811320754716982,0.12264150943396226,0.08490566037735849,0.13522012578616352,0.5290210052002504
