failure_mode,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
metric_statistic_mismatch.wrong_metric_summary_rank_or_association,672,14,228,0.3392857142857143,0.30449125091909585,0.37590723298600864,0.6687110260770975,0.6666666666666666,0.0,0.0,708.7149999999999,4578.252999999999,1807.3486904761905,382,1.3196535617801048
threshold_resolution_instability.threshold_resolution_topk_or_significance_instability,432,9,138,0.3194444444444444,0.27723247970242393,0.36483931885925525,0.640520031665865,0.5454545454545454,0.0,0.0,751.755,3074.4550000000004,1254.9836574074072,244,1.176002852172131
biological_interpretation.prior_driven_or_overclaimed_biological_interpretation,384,8,175,0.4557291666666667,0.40659905419986836,0.5057362909513481,0.781147693452381,0.8571428571428571,0.0,0.0,952.315,8199.907999999998,2606.2165104166666,220,1.5180468893636365
normalization_representation.feature_namespace_or_identifier_mismatch,288,6,0,0.0,0.0,0.01316330502573999,0.5011074284511784,0.5,0.0,0.0,1065.24,3926.602000000002,1717.5855902777778,163,1.5480296407361962
subset_scope_compartment.wrong_denominator_reference_or_abundance_base,288,6,123,0.4270833333333333,0.37128260508135985,0.48480371023489394,0.7729290674603174,0.8571428571428571,0.0,0.0,506.575,9622.235,2299.5820833333337,165,1.0969653906666668
normalization_representation.wrong_data_layer_or_preprocessing,240,5,90,0.375,0.3161718052435718,0.437766817206412,0.6802083333333333,0.8333333333333334,0.0,0.0,189.04000000000002,979.6239999999999,443.5917083333334,135,0.6350923957037038
normalization_representation.feature_selection_or_panel_scope_mismatch,192,4,12,0.0625,0.03611029002738631,0.10605358118281621,0.5545071248196247,0.5454545454545454,0.0,0.0,790.185,2508.692,1172.8003125000002,109,1.173157671651376
metric_statistic_mismatch.null_background_or_control_calibration_error,192,4,67,0.3489583333333333,0.28509874156217146,0.4187435473080174,0.7607969576719577,0.8571428571428571,0.0,0.0,696.125,1640.2410000000002,843.2307291666666,108,1.0381727856481482
replicate_unit_of_analysis.pooled_vs_stratified_analysis_error,192,4,73,0.3802083333333333,0.3145287693703842,0.4505875286990759,0.6895517676767676,0.5454545454545454,0.0,0.0,208.035,2303.6430000000005,803.9094270833333,109,0.6398805956880733
metric_statistic_mismatch.pathway_program_or_score_method_mismatch,144,3,43,0.2986111111111111,0.22988698170829305,0.37780124677408267,0.6455439814814814,0.6666666666666666,0.0,0.0,883.81,1894.8260000000012,1021.0083333333334,81,1.1624501181481481
biological_interpretation.state_identity_program_or_function_conflation,144,3,47,0.3263888888888889,0.25518156232234157,0.40661863464522374,0.5947916666666667,0.5333333333333333,0.0,0.0,617.69,2162.373000000001,820.1601388888889,81,1.1742257460493826
normalization_representation.library_chemistry_read_layout_or_file_structure_mismatch,144,3,47,0.3263888888888889,0.25518156232234157,0.40661863464522374,0.7180555555555556,0.7272727272727273,0.0,0.0,704.77,4923.125,1648.0692361111112,81,1.4966472560493826
biological_interpretation.sign_direction_temporal_or_trajectory_orientation_error,96,2,0,0.0,0.0,0.03847694748481595,0.5920138888888888,0.5,0.0,0.0,273.555,882.3299999999999,499.098125,54,0.7163762016666666
qc_control_artifact.technical_artifact_control_or_detection_bias_as_biology,96,2,39,0.40625,0.3134514434260545,0.5062629842273485,0.7978670634920636,0.8333333333333334,0.0,0.0,370.58500000000004,959.415,648.4346875,54,0.9027057227777777
metric_statistic_mismatch.mechanical_depth_detection_or_sample_size_confound,96,2,75,0.78125,0.6886190795275433,0.8522376375122478,0.9205729166666666,1.0,0.0,0.0,604.175,15508.95,5700.1746875,57,1.6990459482456144
ambiguity_definition.under_specified_dataset_task_entity_or_output,48,1,0,0.0,0.0,0.0741026511527422,0.4505208333333333,0.5,0.0,0.0,1129.605,3130.172000000001,1453.2516666666668,27,1.578123837777778
normalization_representation.latent_basis_or_embedding_provenance_mismatch,48,1,0,0.0,0.0,0.0741026511527422,0.6909722222222223,0.8333333333333334,0.0,0.0,559.7950000000001,1728.4610000000002,868.0508333333333,27,1.2438531588888888
rubric_reviewer_dispute.valid_alternative_rubric_tolerance_or_version_problem,48,1,0,0.0,0.0,0.0741026511527422,0.6909722222222223,0.8333333333333334,0.0,0.0,559.7950000000001,1728.4610000000002,868.0508333333333,27,1.2438531588888888
subset_scope_compartment.wrong_sample_roi_condition_or_timepoint,48,1,0,0.0,0.0,0.0741026511527422,0.234375,0.25,0.0,0.0,1127.285,3515.8730000000005,1623.22625,27,2.1495537766666666
other.unclassified_or_mixed,48,1,2,0.041666666666666664,0.011501652078965613,0.13975911147771472,0.6979166666666666,0.75,0.0,0.0,857.5250000000001,1804.5560000000012,1008.1666666666666,27,1.1554141892592595
subset_scope_compartment.wrong_entity_cell_cluster_or_region_subset,48,1,40,0.8333333333333334,0.7042189996260375,0.9130458996054678,0.9722222222222223,1.0,0.0,0.0,490.57,1113.6100000000008,587.7185416666667,27,0.6183666888888889
