kit,task_family,n_runs,n_evals,pass_n,pass_rate,pass_rate_wilson_low,pass_rate_wilson_high,mean_score,median_score,timeout_rate,oom_rate,median_duration_s,p90_duration_s,mean_duration_s,nonmissing_cost_n,mean_total_cost
atacseq,differential_expression,912,19,238,0.26096491228070173,0.2335072923102317,0.2904278510595387,0.6409813596491228,0.6,0.0,0.0,703.645,2995.426999999999,1152.2361293859651,515,1.1595878867961165
atacseq,dimensionality_reduction,48,1,0,0.0,0.0,0.0741026511527422,0.6909722222222223,0.8333333333333334,0.0,0.0,559.7950000000001,1728.4610000000002,868.0508333333333,27,1.2438531588888888
atacseq,qc,192,4,25,0.13020833333333334,0.0897736071169068,0.18515061735838345,0.6189236111111112,0.625,0.0,0.0,1754.155,4130.331,2129.70546875,110,1.2201557812727275
chipseq,differential_expression,96,2,47,0.4895833333333333,0.39192689394846364,0.5880413757908035,0.7065972222222223,0.6666666666666666,0.0,0.0,1440.99,3091.99,1610.1601041666665,55,1.327797198909091
chipseq,qc,384,8,194,0.5052083333333334,0.4553972967438614,0.5549161920618778,0.8157521081349207,1.0,0.0,0.0,310.595,7929.103999999998,1803.4321875000003,219,1.0106301267123288
cuttag_cutrun,clustering,48,1,2,0.041666666666666664,0.011501652078965613,0.13975911147771472,0.5386904761904762,0.5714285714285714,0.0,0.0,2788.565,8078.932000000001,3646.9841666666666,28,1.2989166607142857
cuttag_cutrun,differential_expression,672,14,356,0.5297619047619048,0.4919624687992647,0.5672229971442345,0.8264030612244898,1.0,0.0,0.0,862.755,3042.7299999999996,1363.278630952381,381,0.751386325144357
cuttag_cutrun,normalization,144,3,15,0.10416666666666667,0.0641474746869393,0.16475697439910955,0.6696180555555556,0.625,0.0,0.0,273.045,628.515,339.6210416666667,81,0.46865274814814817
cuttag_cutrun,qc,1392,29,395,0.28376436781609193,0.26070125109141806,0.3080177210326396,0.7088028530377669,0.75,0.0,0.0,470.17499999999995,1418.8810000000012,699.2165589080461,784,0.5420626851785714
methylseq,differential_expression,864,18,321,0.3715277777777778,0.33994192270534984,0.4042510267914248,0.9076967592592593,1.0,0.0,0.0,352.59000000000003,1545.383,638.3083101851852,486,0.4975173592386831
methylseq,qc,288,6,48,0.16666666666666666,0.12807200464275667,0.21403686537440333,0.25,0.0,0.0,0.0,102.05,493.415,217.61958333333337,162,0.12496626037037038
methylseq,spatial_analysis,48,1,31,0.6458333333333334,0.5043879645406409,0.7656654288731427,0.8541666666666666,1.0,0.0,0.0,345.615,1006.1020000000002,647.68375,27,0.3659431007407407
